Date,"SENSEX_candle_5T_range_[50, 50]_delta_0,4_time_11,45_pnl_threshold_6788.11.csv","SENSEX_candle_5T_range_[66, 66]_delta_0,3_time_10,15_pnl_threshold_4285.63.csv","SENSEX_candle_5T_range_[50, 50]_delta_0,5_time_13,00_pnl_threshold_5447.79.csv","SENSEX_candle_5T_range_[70, 88]_delta_0,4_time_11,45_pnl_threshold_4228.37.csv"
2023-08-11,2515.422,2215.325,-60.171,1247.238
2023-08-18,-340.008,2761.681,-445.323,-996.973
2023-08-25,2391.794,2204.358,849.435,835.477
2023-09-15,1012.943,2187.409,689.915,3185.406
2023-09-22,-663.977,2859.387,-1114.324,1184.427
2023-09-29,2116.622,-1474.401,1848.429,-1086.24
2023-10-06,1470.566,2379.83,1416.728,1470.566
2023-10-13,-1977.907,198.394,-3425.236,-2220.633
2023-10-27,2969.057,3206.343,1416.728,3049.814
2023-11-03,-687.046,2527.386,208.364,-564.68
2023-11-10,605.17,473.566,1189.412,667.981
2023-11-17,716.834,614.143,378.851,709.855
2023-11-24,293.109,1556.308,-394.17,2143.541
2023-12-01,2184.418,1410.746,2077.739,2275.145
2023-12-08,2307.049,3268.157,178.454,1629.089
2023-12-15,-5990.91,-3757.229,-6024.009,-5574.665
2023-12-22,-669.995,4317.001,1251.226,1699.876
2023-12-29,2571.254,3620.098,2759.687,3960.075
2024-01-05,1942.147,1120.619,1874.351,2069.763
2024-01-12,2634.065,2694.882,2314.028,2634.065
2024-01-19,1332.98,2928.18,1695.888,3648.014
2024-01-25,6768.624,4448.605,-1166.48,4326.971
2024-02-02,2798.57,-7294.81,5453.581,-5458.317
2024-02-09,5357.869,3960.075,1872.357,4512.413
2024-02-16,3891.282,3366.86,3171.448,3891.282
2024-02-23,1259.202,4282.106,-45.126,2796.576
2024-03-01,5258.169,2691.891,3054.799,4322.983
2024-03-07,2386.809,2350.917,2455.602,2386.809
2024-03-15,1968.069,2915.219,2496.479,1968.069
2024-03-22,3440.638,1281.136,2199.373,4259.175
2024-03-28,-4304.867,-9343.939,-7112.264,-11715.031
2024-04-05,2838.45,3248.217,2670.954,2838.45
2024-04-12,641.062,-4286.813,2841.441,641.062
2024-04-19,1773.654,-341.011,837.471,-834.487
2024-04-26,506.467,4301.049,-2360.05,-885.64
2024-05-03,-1498.473,-4499.449,5438.626,-5716.088
2024-05-10,4418.695,4483.5,1229.292,4253.193
2024-05-17,6354.869,4283.103,3028.877,4214.31
2024-05-24,2248.226,4480.509,2955.099,3405.743
2024-06-07,6972.012,1764.681,5434.638,4570.239
2024-06-14,2400.767,2535.362,3588.194,2400.767
2024-06-21,2511.434,-2437.281,1899.276,-4606.77
2024-06-28,-1300.882,4380.809,-1554.641,227.307
2024-07-05,-6948.775,400.785,-5567.644,-2132.369
2024-07-12,6491.458,-3857.529,1257.208,4220.292
2024-07-19,-2325.948,2102.664,2621.104,313.049
2024-07-26,-1097.273,1001.976,-345.023,-1138.396
2024-08-02,1890.303,2914.222,1877.342,118.634
2024-08-09,2871.351,3655.99,1807.552,2871.351
2024-08-16,714.84,66.79,1935.168,858.408
2024-08-23,2909.237,2405.752,2129.583,2909.237
2024-08-30,4870.336,3888.291,2741.741,4241.229
2024-09-06,3219.304,4589.182,5473.521,2568.263
2024-09-13,973.063,3746.717,1013.94,3106.643
2024-09-20,-15647.794,-16213.486,4477.518,-18966.721
2024-09-27,2339.95,1336.968,4457.578,856.414
2024-10-18,4948.102,1527.395,4376.821,4355.884
2024-10-25,3950.105,1515.431,459.608,4227.271
2024-10-31,721.819,1323.01,761.699,486.527
2024-11-08,813.543,1593.197,-43.12,684.93
2024-11-14,2400.767,4405.734,2161.487,4221.289
2024-11-22,-2825.442,450.635,-5277.777,-1816.424
2024-11-29,2569.26,4371.836,3428.674,4219.295
2024-12-06,3996.964,4270.142,1007.958,3996.964
2024-12-13,-4589.719,-15166.354,6035.829,-5294.828
2024-12-20,-2029.06,4487.488,-2913.706,-4833.448
2025-01-07,1004.967,4288.088,2462.581,3240.241
2025-01-14,852.426,-114.333,2492.491,932.186
2025-01-21,-4428.236,4768.642,6075.709,4942.12
2025-01-28,-1226.66,4323.98,-3158.438,4318.995
2025-02-04,9719.744,4520.389,5443.611,6515.386
2025-02-11,-5502.449,-1495.464,102.682,-7531.518
2025-02-18,3320.001,4271.139,3387.797,4231.259
2025-02-25,650.035,2874.342,577.254,2220.31
2025-03-04,1523.407,2948.12,-131.384,1562.29
2025-03-11,609.158,1602.17,-830.475,-188.555
2025-03-18,-2138.387,2018.916,-3313.903,981.039
2025-03-25,2872.348,4553.29,3852.399,4234.25
2025-04-01,2863.375,-3615.806,4186.394,4219.295
2025-04-08,3024.889,-9195.495,5507.419,1636.068
2025-04-15,2205.355,1765.678,785.627,2482.521
