Strike,Call_LTP,Call_Delta,Type,Put_LTP,Put_Delta,Selected_Put_OTM_Strike,Selected_Call_OTM_Strike,Selected_Put_Delta,Selected_Call_Delta
21850,544.8,0.8385263078196059,Put OTM,1.2,-0.014560966974738536,22300,22450,-0.31735134143397753,0.24921971017498934
21900,494.0,0.8309043929229539,Put OTM,1.45,-0.018260290385925842,22300,22450,-0.31735134143397753,0.24921971017498934
21950,444.65,0.8190912894110574,Put OTM,1.8,-0.023495150536723394,22300,22450,-0.31735134143397753,0.24921971017498934
22000,393.8,0.8085228795333497,Put OTM,2.2,-0.03007914176489718,22300,22450,-0.31735134143397753,0.24921971017498934
22050,345.6,0.7900963223786424,Put OTM,2.9,-0.04098050258053202,22300,22450,-0.31735134143397753,0.24921971017498934
22100,296.25,0.7708129800534673,Put OTM,4.1,-0.05900597451575847,22300,22450,-0.31735134143397753,0.24921971017498934
22150,248.0,0.744668902455841,Put OTM,5.85,-0.0859958981692861,22300,22450,-0.31735134143397753,0.24921971017498934
22200,201.0,0.7094068155500859,Put OTM,8.95,-0.13155451722198308,22300,22450,-0.31735134143397753,0.24921971017498934
22250,155.25,0.6620283623986296,Put OTM,13.75,-0.20235928606098075,22300,22450,-0.31735134143397753,0.24921971017498934
22300,113.4,0.5941802705381745,Put OTM,21.95,-0.31735134143397753,22300,22450,-0.31735134143397753,0.24921971017498934
22350,75.8,0.5023153598778815,Call OTM,34.55,-0.4978659972883137,22300,22450,-0.31735134143397753,0.24921971017498934
22400,44.5,0.3840670347824567,Call OTM,53.15,-0.8557906299138642,22300,22450,-0.31735134143397753,0.24921971017498934
22450,21.65,0.24921971017498934,Call OTM,79.8,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22500,8.45,0.12888650213137515,Call OTM,116.85,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22550,3.5,0.06253201374046016,Call OTM,161.75,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22600,1.55,0.0303121018856046,Call OTM,211.0,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22650,0.75,0.015361722678248427,Call OTM,259.15,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22700,0.5,0.009943476025805401,Call OTM,308.0,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22750,0.35,0.006735442209356724,Call OTM,356.45,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22800,0.3,0.005412545178041487,Call OTM,407.4,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
22850,0.25,0.0042850205166786,Call OTM,459.45,0.0,22300,22450,-0.31735134143397753,0.24921971017498934
